step,factor,rank_gen,theta,tan_theta,mu,rank_mu,nu,rank_nu,abs_c_mu,abs_c_nu,fid_after,flag
44,"(5u,5d)->(1u,3d)",2,0.18019497760909495,0.18217097007489505,|0u 0d 1u 3d 4u 4d>,3,|0u 0d 4u 4d 5u 5d>,2,0.028702872714774563,0.2880426167672649,0.8084801511962681,
45,"(0d,2u)->(4u,4d)",2,-0.6647298792721461,-0.7837117626682784,|1u 1d 3d 4u 4d 5u>,3,|0d 1u 1d 2u 3d 5u>,2,0.025096776568509276,0.1473144463706641,0.8207387941823223,
46,"(1u,1d)->(3d,5u)",2,1.418718853182094,6.52482499795732,|0u 2d 3u 3d 5u 5d>,3,|0u 1u 1d 2d 3u 5d>,2,0.025096776568509234,0.14731444637066413,0.9170732761057917,warn_gt_pi4
47,"(0u,0d)->(2d,4u)",2,-0.1945942277763247,-0.19708823838909037,|1d 2u 2d 4u 4d 5u>,4,|0u 0d 1d 2u 4d 5u>,2,0.029311336689920437,0.1865310214646874,0.9261014531668694,
48,"(0u,1u)->(2u,5u)",2,-0.07805063772043176,-0.07820951716280622,|1d 2u 2d 3u 5u 5d>,3,|0u 1u 1d 2d 3u 5d>,2,0.02509677656850953,0.14731444637066413,0.9255346502209972,
49,"(1u,5d)->(3u,3d)",2,0.23217922980512787,0.23644324148003576,|0u 0d 2d 3u 3d 4u>,4,|0u 0d 1u 2d 4u 5d>,2,0.02931133668992044,0.1865310214646874,0.9401435619008799,
50,"(1u,1d)->(3u,5d)",2,0.11494549148763301,0.11545441913253078,|0d 2u 3u 3d 5u 5d>,3,|0d 1u 1d 2u 3d 5u>,2,0.025096776568509272,0.1473144463706641,0.9416177445611614,
51,"(2u,5u)->(3u,4u)",2,-0.08080047737092096,-0.08097677894842606,|0d 1u 1d 3u 3d 4u>,3,|0d 1u 1d 2u 3d 5u>,2,0.02509677656850954,0.1473144463706641,0.9421120405783223,
52,"(0u,0d)->(3u,3d)",2,-0.48241523985504836,-0.5236845710340178,|3u 3d 4u 4d 5u 5d>,4,|0u 0d 4u 4d 5u 5d>,2,0.09218317071217712,0.2880426167672649,0.7978692250722677,
53,"(0d,1d)->(3d,4d)",2,-0.08022545958987622,-0.08039801752364839,|0u 1u 2u 2d 3d 4d>,4,|0u 0d 1u 1d 2u 2d>,2,0.02247115900220266,0.2880426167672651,0.8015959692570676,
54,"(0d,1u)->(3d,4u)",2,0.24967908881228776,0.25500011478198603,|0u 1d 2u 2d 3d 4u>,4,|0u 0d 1u 1d 2u 2d>,2,0.05178249569212322,0.2880426167672651,0.8236300411237747,
55,"(0u,5u)->(2u,3u)",2,0.04347768228417008,0.04350509843031526,|0d 2u 3u 4u 4d 5d>,4,|0u 0d 4u 4d 5u 5d>,2,0.02247115900220272,0.2880426167672649,0.8248457290560256,
56,"(0d,5d)->(2d,3d)",2,0.041768461461397136,0.04179276823732538,|0u 2d 3d 4u 4d 5u>,4,|0u 0d 4u 4d 5u 5d>,2,0.02247115900220277,0.2880426167672649,0.8258055856840426,
57,"(0u,0d)->(2u,4d)",2,-0.021602280773384584,-0.021605641696977446,|1u 2u 2d 4u 4d 5d>,4,|0u 0d 1u 2d 4u 5d>,2,0.029311336689920447,0.1865310214646874,0.8258411902534871,
58,"(0d,5u)->(2u,3d)",2,-0.1516909299067105,-0.15286521570469278,|0u 2u 3d 4u 4d 5d>,4,|0u 0d 4u 4d 5u 5d>,2,0.05178249569212338,0.2880426167672649,0.8338841252610683,
59,"(1d,5u)->(3u,3d)",2,-0.0326961134422877,-0.03270776953226085,|0u 0d 2u 3u 3d 4d>,4,|0u 0d 1d 2u 4d 5u>,2,0.02931133668992044,0.1865310214646874,0.8340997048582862,
60,"(2d,5d)->(3d,4d)",2,0.053084644878586655,0.05313456496291678,|0u 1u 1d 3u 3d 4d>,3,|0u 1u 1d 2d 3u 5d>,2,0.025096776568509532,0.14731444637066413,0.8343609846408624,
61,"(0u,5d)->(2u,3d)",2,-0.18190286895528113,-0.18393609084645327,|0d 2u 3d 4u 4d 5u>,4,|0u 0d 4u 4d 5u 5d>,2,0.07425365469432607,0.2880426167672649,0.8412318947398547,
62,"(0u,0d)->(3u,3d)",2,0.5302511347849246,0.5862544112933846,|1d 2u 3u 3d 4d 5u>,4,|0u 0d 1d 2u 4d 5u>,2,0.05969610048602432,0.1865310214646874,0.9867576750781346,
63,"(0d,1d)->(2d,5d)",2,-0.23907662205851302,-0.2437382479366917,|1u 2u 2d 3d 5u 5d>,3,|0d 1u 1d 2u 3d 5u>,2,0.025096776568509553,0.1473144463706641,0.9869744254197831,
64,"(0u,1u)->(3u,4u)",2,-0.007890934079360054,-0.007891097864617697,|0d 1d 2u 2d 3u 4u>,4,|0u 0d 1u 1d 2u 2d>,2,0.022471159002202663,0.2880426167672651,0.9870019673066279,
65,"(0u,1d)->(3d,4u)",2,0.15469304810167261,0.15593890653026687,|0d 1u 2u 2d 3d 4u>,4,|0u 0d 1u 1d 2u 2d>,2,0.0742536546943258,0.2880426167672651,0.9932481344715232,
66,"(0u,0d)->(3u,3d)",2,0.06064525684689762,0.06071971438177515,|1u 2d 3u 3d 4u 5d>,4,|0u 0d 1u 2d 4u 5d>,2,0.05969610048602431,0.1865310214646874,0.9975794926824983,
67,"(0u,0d)->(3u,3d)",2,0.06068073662397187,0.06075532504539347,|2u 2d 3u 3d 4u 4d>,6,|0u 0d 2u 2d 4u 4d>,4,0.055160304763446834,0.10425166577296001,0.9989939478427595,
68,"(1u,1d)->(3d,5u)",2,-0.057030822096627895,-0.05709273384056955,|0u 0d 2u 2d 3d 5u>,3,|0u 0d 1u 1d 2u 2d>,2,0.028702872714774567,0.2880426167672651,0.9993179216414722,
69,"(0u,1d)->(2d,5u)",2,0.05020129173068344,0.0502435062108857,|1u 2d 3u 3d 4d 5u>,4,|0u 1u 1d 3u 3d 4d>,3,0.0324870702261526,0.025096776568509532,0.9994211829481898,
70,"(0u,1d)->(2d,5u)",2,0.05020129173057478,0.050243506210776764,|1u 2u 2d 3d 5u 5d>,3,|0u 1u 1d 2u 3d 5d>,2,0.025096776568509553,0.10555514881445116,0.9994537507032027,
71,"(0d,1u)->(2u,5d)",2,0.014754409365315694,0.014755480100443247,|1d 2u 2d 3u 5u 5d>,3,|0d 1u 1d 2d 3u 5u>,2,0.02509677656850953,0.10555514881445116,0.9995075759281353,
72,"(0d,1u)->(2u,5d)",2,0.014754409365200699,0.014755480100328228,|0u 2u 2d 4d 5u 5d>,3,|0u 0d 1u 2d 4d 5u>,2,0.028702872714774563,0.10151159530257711,0.9995552136239172,
73,"(2d,4u)->(1u,5d)",2,0.006502001863864171,0.006502093491685101,|1u 2u 3u 3d 4d 5d>,4,|2u 2d 3u 3d 4u 4d>,6,0.027209030259871727,0.055160304763446834,0.9995828246530266,
74,"(2d,4u)->(1u,5d)",2,0.006502001863533281,0.006502093491354197,|1u 1d 3u 3d 5u 5d>,2,|1d 2d 3u 3d 4u 5u>,4,0.11538477902639763,0.027209030259871734,0.9995869925071755,
75,"(0d,1u)->(2d,5u)",2,0.10306975875287513,0.10343629929607039,|1d 2u 2d 3u 5u 5d>,3,|0d 1u 1d 2u 3u 5d>,2,0.02509677656850953,0.04175929755621295,0.9998964734196905,
76,"(0d,1u)->(2d,5u)",2,0.10306975875274957,0.10343629929594347,|0u 2d 3u 3d 5u 5d>,3,|0u 0d 1u 3u 3d 5d>,2,0.025096776568509234,0.06379585125823811,1.0,
